step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
312,0.04618,0.97581,,
313,0.03885,0.9803,,
314,0.30221,0.91429,,
315,0.01763,0.9934,,
316,0.32327,0.8,,
317,0.0329,0.99015,,
318,0.01546,0.9941,,
319,0.0,0.0,,
320,0.0451,0.98095,,
321,0.08213,0.97044,,
322,0.03912,0.99156,,
323,0.21991,0.92118,,
324,0.04587,0.97959,,
325,0.07647,0.96552,,
326,0.16024,0.96481,,
327,0.03526,0.99507,,
328,0.1024,0.97044,,
329,0.14587,0.96,,
330,0.02795,0.99313,,
331,0.10885,0.94545,,
332,0.0,0.0,,
333,0.03147,0.98667,,
334,0.03783,0.98522,,
335,0.00868,1.0,,
336,0.07355,0.95238,,
337,0.01253,0.9913,,
338,0.0,0.0,,
339,0.01654,0.99656,,
340,0.10805,0.96552,,
341,0.07524,0.98261,,
342,0.0,0.0,,
343,0.12302,0.9505,,
344,0.03151,0.99394,,
345,0.04802,0.98193,,
346,0.22973,0.90909,,
347,0.08645,0.97654,,
348,0.0,0.0,,
349,0.51943,0.85714,,
350,0.05303,0.98182,,
351,0.03931,0.98113,,
352,0.16981,0.92308,,
353,0.03228,0.99363,,
354,0.02331,0.99015,,
355,0.05145,0.9826,,
356,0.01116,0.99656,,
357,0.06035,0.97512,,
358,0.10088,0.96933,,
359,0.05432,0.98182,,
360,0.00744,1.0,,
361,0.0,0.0,,
362,0.0556,0.98522,,
363,0.05719,0.9803,,
364,0.10598,0.96364,,
365,0.34215,0.95238,,
366,0.00538,1.0,,
367,0.12996,0.95238,,
368,0.0,0.0,,
369,0.08551,0.97227,,
370,0.10855,0.97163,,
371,0.04827,0.99029,,
372,0.01151,1.0,,
373,0.08766,0.97279,,
374,0.19234,0.92181,,
375,0.03472,0.98896,,
376,0.00961,1.0,,
377,0.16742,0.94667,,
378,0.02083,0.99313,,
379,0.08657,0.97044,,
380,0.08705,0.95238,,
381,0.04586,0.98093,,
382,0.28044,0.90476,,
383,0.0,0.0,,
384,0.00058,1.0,,
385,0.09255,0.96648,,
386,0.07877,0.97071,,
387,0.04062,0.99015,,
388,0.00521,1.0,,
389,0.14663,0.95238,,
390,0.0199,0.99513,,
391,0.32788,0.90909,,
392,0.09909,0.96505,,
393,0.04341,0.9802,,
394,0.00848,0.99656,,
395,0.05028,0.99029,,
396,0.31635,0.85185,,
397,0.27636,0.80952,,
398,0.47459,0.84158,,
399,0.07171,1.0,,
400,0.10264,0.97044,,
401,0.0946,0.94286,-0.0,0.0
402,0.0,0.0,,
403,0.01934,0.99507,,
404,0.01093,0.99513,,
405,0.01313,0.99693,,
406,0.05108,0.9803,,
407,0.08197,0.96,,
408,7e-05,1.0,,
409,0.01089,1.0,,
410,0.03379,0.98182,,
411,0.02099,0.99515,,
412,0.02469,0.99015,,
413,0.11241,0.92308,,
414,0.01918,0.98896,,
415,0.01301,1.0,,
416,0.01567,0.98788,,
417,0.04315,0.98446,,
418,0.00804,1.0,,
419,0.01132,1.0,,
420,0.0,0.0,,
421,0.0103,0.99707,,
422,0.00998,1.0,,
423,0.08122,0.96078,,
424,0.10478,0.96907,,
425,0.00305,1.0,,
426,0.06831,0.97959,,
427,0.03229,0.99015,,
428,0.34655,0.84158,,
429,0.01241,1.0,,
430,0.00879,0.99507,,
431,0.0,0.0,,
432,0.01667,0.99005,,
433,0.1028,0.97333,,
434,0.00932,0.99626,,
435,0.20316,0.92025,,
436,0.03838,0.99015,,
437,0.00048,1.0,,
438,0.03573,0.99507,,
439,3e-05,1.0,,
440,0.14453,0.93976,,
441,7e-05,1.0,,
442,0.13732,0.97585,,
443,0.04757,0.98522,,
444,0.00379,1.0,,
445,0.00469,1.0,,
446,0.25176,0.85714,,
447,0.0,0.0,,
448,0.0,0.0,,
449,0.01533,0.99609,,
450,0.02687,1.0,,
451,0.02324,0.98969,,
452,0.00282,1.0,,
453,0.00219,1.0,,
454,0.00185,1.0,,
455,0.00028,1.0,,
456,0.09662,0.96059,,
457,0.0098,0.99394,,
458,0.01515,0.99394,,
459,0.03043,0.98625,,
460,0.0003,1.0,,
461,0.20595,0.92611,,
462,0.08609,0.98522,,
463,2e-05,1.0,,
464,0.0,1.0,,
465,0.0,0.0,,
466,0.17081,0.94286,,
467,0.0,0.0,,
468,0.09743,0.9661,,
469,0.63768,0.7415,,
470,0.01989,1.0,,
471,0.0,0.0,,
472,0.0,0.0,,
473,0.19143,0.91429,,
474,0.02716,0.97516,,
475,0.0,0.0,,
476,0.02025,0.99515,,
477,0.13607,0.96161,,
478,0.04288,1.0,,
479,0.0028,1.0,,
480,0.00147,1.0,,
481,0.16092,0.95349,,
482,0.05596,0.98042,,
483,0.03517,0.98367,,
484,0.03037,0.9845,,
485,0.01382,1.0,,
486,0.0,1.0,,
487,0.04042,0.98534,,
488,0.0,1.0,,
489,0.14725,0.94089,,
490,0.33125,0.88571,,
491,0.06385,0.9697,,
492,0.8812,0.8,,
493,0.02071,0.98795,,
494,0.01128,1.0,,
495,0.01595,0.99484,,
496,0.01973,0.99507,,
497,1e-05,1.0,,
498,0.0126,0.9901,,
499,0.00079,1.0,,
500,0.0672,0.98228,,
501,0.06926,0.98182,-0.0,0.0
502,0.17734,0.90476,,
503,0.12476,0.97654,,
504,0.05515,0.9803,,
505,7e-05,1.0,,
506,0.0,0.0,,
507,0.0,0.0,,
508,0.38716,0.82667,,
509,0.01876,0.99398,,
510,0.0,1.0,,
511,0.0,0.0,,
512,0.0,0.0,,
513,0.02106,0.99384,,
514,0.03059,0.99029,,
515,0.00954,0.99592,,
516,0.04086,0.9932,,
517,0.07573,0.97333,,
518,0.00605,1.0,,
519,1e-05,1.0,,
520,0.08943,0.9697,,
521,0.21793,0.92593,,
522,0.08648,0.97087,,
523,0.09634,0.96552,,
524,0.00262,1.0,,
525,0.00218,1.0,,
526,0.00573,1.0,,
527,0.02034,1.0,,
528,0.06813,0.96226,,
529,0.0,0.0,,
530,0.03061,0.99455,,
531,0.00036,1.0,,
532,0.03984,0.99015,,
533,0.0,0.0,,
534,0.00864,0.99507,,
535,0.1314,0.9292,,
536,0.06553,0.98522,,
537,0.09349,0.97792,,
538,0.02968,0.98896,,
539,0.0953,0.97594,,
540,0.15098,0.95223,,
541,0.09673,0.98522,,
542,0.07255,0.97537,,
543,0.0076,1.0,,
544,1e-05,1.0,,
545,0.0713,0.9749,,
546,0.04346,0.98522,,
547,0.02631,1.0,,
548,0.0001,1.0,,
549,0.4683,0.84314,,
550,0.02649,0.98522,,
551,0.3679,0.87179,,
552,2e-05,1.0,,
553,0.04104,0.98455,,
554,0.03596,0.98226,,
555,0.00836,0.9951,,
556,0.02028,0.99103,,
557,0.19639,0.90909,,
558,1e-05,1.0,,
559,0.02377,0.99015,,
560,0.06891,0.97997,,
561,0.0,0.0,,
562,0.00775,1.0,,
563,0.16099,0.9434,,
564,0.03577,1.0,,
565,0.0,1.0,,
566,0.01165,0.99394,,
567,0.00733,1.0,,
568,0.0,0.0,,
569,2e-05,1.0,,
570,0.40658,0.85185,,
571,0.00351,1.0,,
572,0.00112,1.0,,
573,0.00329,1.0,,
574,0.00727,0.99313,,
575,0.12854,0.95758,,
576,0.00105,1.0,,
577,0.05937,0.98776,,
578,0.24698,0.92174,,
579,0.27995,0.88889,,
580,0.01887,0.99578,,
581,0.62732,0.68571,,
582,0.00731,0.99313,,
583,0.03247,0.99042,,
584,0.02147,0.99048,,
585,0.31858,0.7619,,
586,0.21908,0.88889,,
587,0.0,1.0,,
588,0.00072,1.0,,
589,0.00973,0.99048,,
590,0.00733,0.99656,,
591,0.05417,0.99015,,
592,0.02177,0.99656,,
593,0.00568,0.99875,,
594,0.4047,0.85714,,
595,0.0294,0.98522,,
596,0.0,0.0,,
597,0.38736,0.88571,,
598,0.02452,0.99413,,
599,0.02149,0.99507,,
600,0.01902,0.99242,,
601,0.00505,1.0,0.3027,0.87273
602,0.0,0.0,,
603,0.0,0.0,,
604,0.02887,0.99487,,
605,0.33773,0.75,,
606,8e-05,1.0,,
607,0.00209,1.0,,
608,0.01073,0.99539,,
609,0.02688,0.99117,,
610,0.0,0.0,,
611,0.0,1.0,,
612,0.0539,0.98922,,
613,0.0,0.0,,
614,0.10204,0.96907,,
615,0.16773,0.90476,,
616,0.11962,0.95918,,
617,0.03828,0.98929,,
618,0.00654,1.0,,
619,0.02093,0.99363,,
620,0.01971,0.99029,,
621,0.10939,0.95935,,
622,0.0,0.0,,
623,0.01925,0.99507,,
624,0.12823,0.96026,,
625,0.03693,0.99015,,
626,0.05881,0.96574,,
627,0.08581,0.96364,,
628,0.00727,0.99507,,
629,0.08475,0.95238,,
630,0.18445,0.96,,
631,0.0,0.0,,
632,0.0,0.0,,
633,0.05231,0.98522,,
634,0.0,0.0,,
635,0.26679,0.88889,,
636,0.0814,0.97324,,
637,0.0,0.0,,
638,0.00657,1.0,,
639,0.04695,0.98817,,
640,0.01321,1.0,,
641,0.00015,1.0,,
642,0.00495,1.0,,
643,0.01733,0.99502,,
644,0.0,1.0,,
645,0.09357,0.9703,,
646,0.02007,1.0,,
647,0.00869,0.99507,,
648,0.03524,0.98494,,
649,0.0,1.0,,
650,0.0,1.0,,
651,0.03019,0.99417,,
652,0.10932,0.95238,,
653,0.0,1.0,,
654,0.04037,0.98675,,
655,0.00747,1.0,,
656,0.0196,0.9927,,
657,0.03386,1.0,,
658,0.56552,0.7619,,
659,0.14522,0.90476,,
660,3e-05,1.0,,
661,0.0324,0.98788,,
662,0.02131,0.99507,,
663,0.04859,0.9803,,
664,5e-05,1.0,,
665,0.65279,0.90667,,
666,0.0328,0.98522,,
667,0.04406,0.98455,,
668,0.01607,0.99718,,
669,0.11367,0.97044,,
670,0.0747,0.97654,,
671,0.00602,1.0,,
672,0.25481,0.88889,,
673,0.02119,0.99507,,
674,0.13735,0.90476,,
675,0.41638,0.77143,,
676,0.23058,0.88889,,
677,0.09016,0.95758,,
678,0.2059,0.92308,,
679,0.0,0.0,,
680,0.04351,0.98522,,
681,0.07985,0.96247,,
682,0.0,0.0,,
683,0.00067,1.0,,
684,0.11323,0.96396,,
685,0.09993,0.95238,,
686,0.0152,0.99363,,
687,0.07901,0.96059,,
688,0.0,0.0,,
689,0.09208,0.974,,
690,0.06875,0.97594,,
691,0.0714,0.95238,,
692,0.03205,0.98667,,
693,0.0,1.0,,
694,0.0,1.0,,
695,0.00031,1.0,,
696,1.26614,0.7619,,
697,0.22351,0.9505,,
698,0.02268,0.99313,,
699,0.38373,0.80952,,
700,0.00071,1.0,,
701,0.00011,1.0,-0.0,0.0
702,0.0,0.0,,
703,0.07381,0.97722,,
704,0.0511,0.98551,,
705,0.22627,0.95238,,
706,0.02658,0.99507,,
707,0.08329,0.97537,,
708,0.0274,0.99121,,
709,0.0,0.0,,
710,0.0968,0.97495,,
711,0.0,0.0,,
712,0.03861,0.98641,,
713,0.07783,0.97537,,
714,4e-05,1.0,,
715,0.0127,0.9974,,
716,0.02317,1.0,,
717,0.11551,0.96364,,
718,0.0,0.0,,
719,0.25849,0.95238,,
720,0.03438,0.99507,,
721,0.01652,0.99211,,
722,0.10632,0.96558,,
723,0.01628,0.99435,,
724,0.07888,0.96933,,
725,0.01805,1.0,,
726,0.24187,0.77778,,
727,0.17393,0.92181,,
728,0.02673,0.99394,,
729,0.01717,0.99507,,
730,0.001,1.0,,
731,0.13635,0.95238,,
732,0.0945,0.96175,,
733,0.0,0.0,,
734,0.0,1.0,,
735,0.17375,0.90476,,
736,0.02575,0.9917,,
737,0.00058,1.0,,
738,0.05914,0.98522,,
739,0.07386,0.96879,,
740,0.03817,0.99103,,
741,0.01062,0.99507,,
742,0.38045,0.90123,,
743,0.36048,0.90769,,
744,0.07913,0.9769,,
745,0.00923,1.0,,
746,0.03073,0.98387,,
747,0.00699,0.99507,,
748,0.05672,0.99015,,
749,0.0,1.0,,
750,0.01336,0.99387,,
751,0.0001,1.0,,
752,0.0,0.0,,
753,0.01116,0.99683,,
754,0.13667,0.95152,,
755,0.0174,1.0,,
756,0.00167,1.0,,
757,0.0,0.0,,
758,0.15289,0.9505,,
759,0.12888,0.96947,,
760,0.08599,0.97537,,
761,0.04639,0.98481,,
762,0.42157,0.85714,,
763,0.0,0.0,,
764,0.0,1.0,,
765,0.00373,1.0,,
766,0.02558,1.0,,
767,0.10248,0.96183,,
768,0.03985,0.98182,,
769,1e-05,1.0,,
770,0.14565,0.95238,,
771,0.05292,0.97378,,
772,0.0,0.0,,
773,0.16772,0.94286,,
774,0.457,0.88,,
775,0.00034,1.0,,
776,0.28513,0.95238,,
777,0.16265,0.94872,,
778,0.00992,0.99592,,
779,0.6568,0.71429,,
780,0.00057,1.0,,
781,0.0266,0.98896,,
782,0.0,0.0,,
783,0.08117,0.97537,,
784,0.27277,0.90476,,
785,0.11168,0.96386,,
786,0.00942,0.99482,,
787,0.0,0.0,,
788,0.10391,0.98182,,
789,0.04748,0.98324,,
790,0.0863,0.96059,,
791,0.0,0.0,,
792,0.06956,0.97282,,
793,0.06573,0.97576,,
794,0.14417,0.96648,,
795,0.13191,0.95074,,
796,0.03004,0.99015,,
797,0.26375,0.88571,,
798,0.01549,1.0,,
799,0.24391,0.90476,,
800,0.27968,0.92453,,
801,0.06261,0.97561,0.1179,0.95894
802,0.0,1.0,,
803,0.0,0.0,,
804,0.0562,0.97628,,
805,0.0117,1.0,,
806,0.02826,1.0,,
807,0.0,1.0,,
808,0.00081,1.0,,
809,0.04049,0.98286,,
810,0.01176,0.99507,,
811,0.00549,1.0,,
812,0.42751,0.8,,
813,0.00053,1.0,,
814,0.00944,1.0,,
815,1e-05,1.0,,
816,0.00465,0.99887,,
817,0.0026,0.99705,,
818,0.06855,0.97576,,
819,0.15372,0.88889,,
820,0.0,1.0,,
821,0.00589,0.99757,,
822,0.00244,1.0,,
823,0.02137,0.99014,,
824,0.02203,0.99015,,
825,0.00408,1.0,,
826,0.00677,0.99751,,
827,0.14492,0.93827,,
828,0.00921,1.0,,
829,0.08087,0.96296,,
830,0.00046,1.0,,
831,0.02603,0.99507,,
832,0.0,0.0,,
833,0.01241,0.99539,,
834,0.00729,1.0,,
835,0.00071,1.0,,
836,0.2466,0.95238,,
837,0.12215,0.94286,,
838,0.0026,1.0,,
839,0.0,1.0,,
840,0.05685,0.97975,,
841,0.03348,0.99552,,
842,0.0089,0.99656,,
843,0.01941,0.99507,,
844,0.0,1.0,,
845,0.0,0.0,,
846,2e-05,1.0,,
847,0.00027,1.0,,
848,0.05634,0.98522,,
849,0.04583,0.98522,,
850,0.08877,0.98522,,
851,0.13807,0.96552,,
852,0.13443,0.95238,,
853,0.02252,0.99413,,
854,1e-05,1.0,,
855,0.2075,0.94286,,
856,0.1589,0.9697,,
857,0.00054,1.0,,
858,0.0,0.0,,
859,0.10628,0.97576,,
860,0.29387,0.93333,,
861,0.0008,1.0,,
862,0.0,0.0,,
863,0.01113,0.99656,,
864,0.04399,0.98073,,
865,0.00128,1.0,,
866,6e-05,1.0,,
867,0.41693,0.95238,,
868,0.006,1.0,,
869,0.04185,0.98182,,
870,0.0,1.0,,
871,1e-05,1.0,,
872,0.06765,0.98054,,
873,0.00083,1.0,,
874,0.0,1.0,,
875,1e-05,1.0,,
876,0.03349,0.98835,,
877,0.0,0.0,,
878,0.00011,1.0,,
879,0.00803,0.99502,,
880,0.00372,1.0,,
881,0.00489,1.0,,
882,0.08853,0.95181,,
883,0.07175,0.9802,,
884,0.04,0.98522,,
885,0.21481,0.92593,,
886,0.0,1.0,,
887,0.00336,1.0,,
888,0.00056,1.0,,
889,0.0002,1.0,,
890,0.22868,0.94667,,
891,0.04461,0.97436,,
892,0.0,0.0,,
893,0.11238,0.96148,,
894,0.0,1.0,,
895,0.04788,0.99313,,
896,0.04051,0.98625,,
897,0.0,1.0,,
898,0.0,1.0,,
899,0.01858,0.98667,,
900,0.0013,1.0,,
901,0.02262,0.98758,-0.0,0.0
902,0.04249,0.98638,,
903,0.00223,1.0,,
904,0.0,1.0,,
905,8e-05,1.0,,
906,1e-05,1.0,,
907,0.0,1.0,,
908,0.13899,0.9661,,
909,0.08236,0.96226,,
910,0.0,1.0,,
911,0.0362,0.99063,,
912,0.47098,0.90947,,
913,0.0,1.0,,
914,3e-05,1.0,,
915,0.01355,0.99699,,
916,0.03726,0.9816,,
917,0.0,0.0,,
918,0.0,1.0,,
919,0.0,1.0,,
920,0.0,1.0,,
921,0.0,1.0,,
922,0.0,0.0,,
923,0.02266,0.9912,,
924,0.01777,0.99117,,
925,0.09041,0.97282,,
926,0.0,1.0,,
927,0.40005,0.85714,,
928,0.05521,0.95238,,
929,0.01846,0.99338,,
930,0.05059,1.0,,
931,0.03661,0.9845,,
932,0.11775,0.97585,,
933,0.0,1.0,,
934,0.0,1.0,,
935,0.0,1.0,,
936,0.45115,0.92308,,
937,0.09675,0.9673,,
938,0.02719,0.99122,,
939,0.08568,0.97087,,
940,0.01554,0.99484,,
941,0.05169,0.97044,,
942,0.0157,0.99194,,
943,0.0,0.0,,
944,0.0,0.0,,
945,0.01253,0.99592,,
946,0.0,0.0,,
947,0.29759,0.80952,,
948,0.0,1.0,,
949,0.23596,0.90909,,
950,0.00146,1.0,,
951,0.01438,0.99649,,
952,0.0,1.0,,
953,0.01415,0.99757,,
954,0.23352,0.95238,,
955,0.29625,0.85714,,
956,0.06544,0.97576,,
957,0.21942,0.95238,,
958,0.27113,0.87129,,
959,0.19497,0.88571,,
960,0.0,1.0,,
961,0.01827,0.99417,,
962,0.0,0.0,,
963,0.01196,0.99558,,
964,0.07041,1.0,,
965,0.0,0.0,,
966,1e-05,1.0,,
967,0.00777,0.99592,,
968,0.00457,0.9974,,
969,0.0,0.0,,
970,0.06917,0.97792,,
971,0.0007,1.0,,
972,0.00179,0.99875,,
973,0.0287,0.98182,,
974,0.0,1.0,,
975,0.01726,0.98667,,
976,3e-05,1.0,,
977,0.02583,1.0,,
978,0.11257,0.96892,,
979,0.07753,0.99237,,
980,0.05623,0.95238,,
981,0.85469,0.90476,,
982,0.00172,1.0,,
983,0.00574,1.0,,
984,0.01783,0.99507,,
985,0.0,1.0,,
986,0.0809,0.97792,,
987,6e-05,1.0,,
988,0.0,0.0,,
989,0.00377,1.0,,
990,0.07902,0.97938,,
